category_ja,category_parent_ja,origin_ja,taxon_group_ja,family_ja,scientific_name,vernacular_name_ja,ias_law_status_ja,establishment_stage_ja,selection_reason_ja,problem_area_ja,kingdom_sheet_ja,note_ja,source_id,source_ref
その他の定着予防外来種,定着を予防する外来種（定着予防外来種）,国外由来の外来種,その他の無脊椎動物,,Orconectes rusticus,ラスティークレイフィッシュ,特定外来,未定着,Ⅰ,,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=102
その他の定着予防外来種,定着を予防する外来種（定着予防外来種）,国外由来の外来種,その他の無脊椎動物,,Cherax spp.,ケラクス属,特定外来,未定着,Ⅰ,,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=103
その他の定着予防外来種,定着を予防する外来種（定着予防外来種）,国外由来の外来種,その他の無脊椎動物,,Eriocheir spp.,外国産モクズガニ属,特定外来,未定着,Ⅰ,,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=104
緊急対策外来種,総合的に対策が必要な外来種（総合対策外来種）,国外由来の外来種,哺乳類,,Macaca cyclopis,タイワンザル,特定外来,定着初期／限定分布,"Ⅰ,Ⅲ",,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=107
緊急対策外来種,総合的に対策が必要な外来種（総合対策外来種）,国外由来の外来種,哺乳類,,Macaca muｌatta,アカゲザル,特定外来,定着初期／限定分布,"Ⅰ,Ⅲ",,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=108
緊急対策外来種,総合的に対策が必要な外来種（総合対策外来種）,国外由来の外来種,哺乳類,,Felis silvestris catus,ノネコ（イエネコの野生化したもの）,,分布拡大期～まん延期,"Ⅰ,Ⅱ",,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=109
緊急対策外来種,総合的に対策が必要な外来種（総合対策外来種）,国外由来の外来種,哺乳類,,Herpestes auropunctatus,フイリマングース,特定外来,定着初期／限定分布,Ⅰ,,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=110
緊急対策外来種,総合的に対策が必要な外来種（総合対策外来種）,国外由来の外来種,哺乳類,,Procyon lotor,アライグマ,特定外来,分布拡大期～まん延期,"Ⅰ,Ⅱ",,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=111
緊急対策外来種,総合的に対策が必要な外来種（総合対策外来種）,国外由来の外来種,哺乳類,,Muntiacus reevesi,キョン,特定外来,定着初期／限定分布,Ⅰ,,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=112
緊急対策外来種,総合的に対策が必要な外来種（総合対策外来種）,国外由来の外来種,哺乳類,,Capra hircus,ノヤギ（ヤギの野生化したもの）,,定着初期／限定分布,"Ⅰ,Ⅱ",,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=113
