place_id,place_kind,external_key,name_ja,lat,lon,reason
jp-14:place:site.jiban-chinka-148B,site,kanagawa_jiban_chinka__148B,,,,https://www.pref.kanagawa.jp/documents/38669/r5table.xlsx#r5table.xlsx!表4!row43_col11（data/processed/kanagawa_jiban_chinka.csv well_id=148B; scripts/c84_jiban_chinka.py; 原本(地盤沈下観測井台帳)に緯度経度の記載なし）
jp-14:place:site.jiban-chinka-15,site,kanagawa_jiban_chinka__15,秋葉町観測所,,,https://www.pref.kanagawa.jp/documents/38669/r5table.xlsx#r5table.xlsx!表9!well15（data/processed/kanagawa_jiban_chinka.csv well_id=15; scripts/c84_jiban_chinka.py; 原本(地盤沈下観測井台帳)に緯度経度の記載なし）
jp-14:place:site.jiban-chinka-16,site,kanagawa_jiban_chinka__16,都筑観測所,,,https://www.pref.kanagawa.jp/documents/38669/r5table.xlsx#r5table.xlsx!表9!well16（data/processed/kanagawa_jiban_chinka.csv well_id=16; scripts/c84_jiban_chinka.py; 原本(地盤沈下観測井台帳)に緯度経度の記載なし）
jp-14:place:site.jiban-chinka-17-1,site,kanagawa_jiban_chinka__17-1,新横浜駅前公園観測所,,,https://www.pref.kanagawa.jp/documents/38669/r5table.xlsx#r5table.xlsx!表11-2-2!col3_row7（data/processed/kanagawa_jiban_chinka.csv well_id=17-1; scripts/c84_jiban_chinka.py; 原本(地盤沈下観測井台帳)に緯度経度の記載なし）
jp-14:place:site.jiban-chinka-17-2,site,kanagawa_jiban_chinka__17-2,新横浜駅前公園観測所,,,https://www.pref.kanagawa.jp/documents/38669/r5table.xlsx#r5table.xlsx!表11-2-2!col4_row6（data/processed/kanagawa_jiban_chinka.csv well_id=17-2; scripts/c84_jiban_chinka.py; 原本(地盤沈下観測井台帳)に緯度経度の記載なし）
jp-14:place:site.jiban-chinka-17-3,site,kanagawa_jiban_chinka__17-3,新横浜駅前公園観測所,,,https://www.pref.kanagawa.jp/documents/38669/r5table.xlsx#r5table.xlsx!表11-2-2!col5_row6（data/processed/kanagawa_jiban_chinka.csv well_id=17-3; scripts/c84_jiban_chinka.py; 原本(地盤沈下観測井台帳)に緯度経度の記載なし）
jp-14:place:site.jiban-chinka-18,site,kanagawa_jiban_chinka__18,戸塚駅周辺地下水位観測所,,,https://www.pref.kanagawa.jp/documents/38669/r5table.xlsx#r5table.xlsx!表9!well18（data/processed/kanagawa_jiban_chinka.csv well_id=18; scripts/c84_jiban_chinka.py; 原本(地盤沈下観測井台帳)に緯度経度の記載なし）
jp-14:place:site.jiban-chinka-19,site,kanagawa_jiban_chinka__19,,,,https://www.pref.kanagawa.jp/documents/38669/r5table.xlsx#r5table.xlsx!表9!well19（data/processed/kanagawa_jiban_chinka.csv well_id=19; scripts/c84_jiban_chinka.py; 原本(地盤沈下観測井台帳)に緯度経度の記載なし）
jp-14:place:site.jiban-chinka-2,site,kanagawa_jiban_chinka__2,六郷観測所,,,https://www.pref.kanagawa.jp/documents/38669/r5table.xlsx#r5table.xlsx!表9!well2（data/processed/kanagawa_jiban_chinka.csv well_id=2; scripts/c84_jiban_chinka.py; 原本(地盤沈下観測井台帳)に緯度経度の記載なし）
jp-14:place:site.jiban-chinka-20,site,kanagawa_jiban_chinka__20,,,,https://www.pref.kanagawa.jp/documents/38669/r5table.xlsx#r5table.xlsx!表9!well20（data/processed/kanagawa_jiban_chinka.csv well_id=20; scripts/c84_jiban_chinka.py; 原本(地盤沈下観測井台帳)に緯度経度の記載なし）
jp-14:place:site.jiban-chinka-206,site,kanagawa_jiban_chinka__206,,,,https://www.pref.kanagawa.jp/documents/38669/r5table.xlsx#r5table.xlsx!表4!row7_col11（data/processed/kanagawa_jiban_chinka.csv well_id=206; scripts/c84_jiban_chinka.py; 原本(地盤沈下観測井台帳)に緯度経度の記載なし）
